iter	Passed	Remaining
0	0	926
1	1	867
2	2	828
3	3	808
4	3	788
5	4	773
6	5	758
7	6	753
8	6	755
9	7	743
10	8	742
11	9	743
12	9	753
13	10	747
14	11	741
15	12	738
16	12	742
17	13	741
18	14	738
19	15	735
20	15	733
21	16	732
22	17	730
23	17	726
24	18	724
25	19	726
26	20	728
27	20	726
28	21	723
29	22	724
30	23	722
31	23	722
32	24	723
33	25	726
34	26	724
35	27	723
36	28	732
37	29	738
38	30	739
39	30	739
40	31	741
41	32	740
42	33	738
43	33	737
44	34	736
45	35	734
46	36	732
47	36	729
48	37	728
49	38	726
50	39	726
51	39	724
52	40	721
53	41	720
54	41	718
55	42	718
56	43	717
57	44	716
58	44	717
59	45	716
60	46	714
61	47	712
62	47	710
63	48	708
64	49	706
65	49	704
66	50	707
67	51	705
68	52	704
69	53	705
70	53	703
71	54	702
72	55	701
73	55	699
74	56	698
75	57	698
76	58	697
77	58	696
78	59	695
79	60	694
80	61	692
81	61	691
82	62	686
83	62	686
84	63	685
85	64	685
86	65	684
87	65	682
88	66	681
89	67	680
90	67	678
91	68	677
92	69	678
93	70	677
94	71	677
95	71	676
96	72	675
97	73	675
98	74	675
99	74	674
100	75	673
101	76	672
102	77	671
103	77	670
104	78	672
105	79	670
106	80	668
107	80	665
108	81	662
109	81	660
110	82	659
111	82	656
112	83	654
113	83	652
114	84	650
115	85	648
116	85	645
117	85	642
118	86	640
119	87	638
120	87	636
121	88	633
122	88	632
123	89	630
124	89	628
125	90	626
126	90	623
127	91	621
128	91	619
129	92	617
130	92	615
131	93	613
132	94	612
133	94	612
134	95	611
135	95	609
136	96	607
137	97	606
138	97	606
139	98	606
140	99	604
141	99	601
142	100	600
143	100	598
144	101	597
145	101	596
146	102	594
147	103	593
148	103	592
149	104	590
150	104	588
151	105	587
152	105	585
153	106	584
154	106	583
155	107	582
156	108	580
157	108	578
158	109	577
159	109	576
160	110	574
161	110	573
162	111	571
163	111	570
164	112	569
165	113	568
166	113	567
167	114	565
168	114	564
169	115	563
170	115	562
171	116	560
172	117	559
173	117	558
174	118	557
175	118	555
176	119	555
177	120	554
178	120	553
179	121	552
180	121	551
181	122	550
182	123	549
183	123	548
184	124	547
185	124	546
186	125	545
187	126	545
188	126	544
189	127	543
190	128	542
191	128	541
192	129	540
193	129	539
194	130	537
195	130	536
196	131	535
197	132	535
198	132	534
199	133	533
200	133	532
201	134	531
202	135	530
203	135	529
204	136	527
205	136	526
206	137	525
207	137	524
208	138	523
209	138	522
210	139	521
211	140	520
212	140	519
213	141	518
214	141	517
215	142	515
216	142	514
217	143	513
218	143	512
219	144	511
220	144	511
221	145	510
222	146	509
223	146	508
224	147	507
225	147	506
226	148	505
227	148	504
228	149	503
229	150	502
230	150	501
231	151	500
232	151	499
233	152	498
234	152	497
235	153	496
236	153	495
237	154	494
238	155	493
239	155	493
240	156	492
241	156	491
242	157	490
243	158	489
244	158	488
245	159	488
246	159	486
247	160	485
248	160	484
249	161	483
250	161	482
251	162	481
252	162	480
253	163	479
254	164	479
255	164	478
256	165	477
257	165	476
258	166	475
259	166	474
260	167	473
261	167	472
262	168	471
263	168	470
264	169	469
265	169	468
266	170	468
267	171	467
268	171	466
269	172	465
270	172	464
271	173	463
272	173	463
273	174	462
274	174	461
275	175	460
276	175	459
277	176	458
278	177	457
279	177	456
280	178	456
281	178	455
282	179	454
283	179	453
284	180	452
285	181	451
286	181	450
287	182	450
288	182	449
289	183	448
290	183	448
291	184	447
292	185	446
293	185	445
294	186	444
295	186	443
296	187	443
297	187	442
298	188	441
299	188	440
300	189	440
301	190	439
302	190	438
303	191	437
304	191	436
305	192	435
306	192	434
307	193	433
308	193	432
309	194	431
310	194	431
311	195	430
312	195	429
313	196	428
314	196	428
315	197	427
316	198	427
317	198	426
318	199	425
319	199	424
320	200	424
321	201	423
322	201	422
323	202	422
324	202	421
325	203	420
326	204	419
327	204	419
328	205	418
329	205	417
330	206	416
331	206	415
332	207	415
333	207	414
334	208	413
335	209	413
336	209	412
337	210	411
338	210	410
339	211	409
340	211	408
341	212	408
342	212	407
343	213	406
344	213	405
345	214	405
346	214	404
347	215	403
348	215	402
349	216	401
350	216	400
351	217	400
352	217	399
353	218	398
354	218	397
355	219	397
356	220	396
357	220	395
358	221	395
359	221	394
360	222	393
361	222	392
362	223	392
363	223	391
364	224	390
365	225	389
366	225	389
367	226	388
368	226	387
369	227	387
370	227	386
371	228	385
372	228	384
373	229	384
374	230	383
375	230	382
376	231	381
377	231	381
378	232	380
379	232	379
380	233	379
381	233	378
382	234	377
383	234	376
384	235	376
385	236	375
386	236	374
387	237	374
388	237	373
389	238	372
390	238	371
391	239	371
392	239	370
393	240	369
394	241	369
395	241	368
396	242	367
397	242	367
398	243	366
399	243	365
400	244	364
401	244	364
402	245	363
403	245	362
404	246	362
405	246	361
406	247	360
407	247	359
408	248	359
409	249	358
410	249	357
411	250	356
412	250	356
413	251	355
414	251	355
415	252	354
416	253	353
417	253	352
418	254	352
419	254	351
420	254	350
421	255	349
422	256	349
423	256	348
424	257	347
425	257	347
426	258	346
427	258	345
428	259	345
429	259	344
430	260	343
431	260	343
432	261	342
433	262	341
434	262	341
435	263	340
436	263	339
437	264	339
438	264	338
439	265	337
440	265	336
441	266	336
442	266	335
443	267	334
444	267	334
445	268	333
446	269	332
447	269	332
448	270	331
449	270	330
450	271	330
451	271	329
452	272	328
453	272	327
454	273	327
455	273	326
456	274	325
457	274	325
458	275	324
459	275	323
460	276	323
461	277	322
462	277	322
463	278	321
464	278	320
465	279	319
466	279	319
467	280	318
468	280	317
469	281	317
470	281	316
471	282	315
472	282	315
473	283	314
474	283	313
475	284	313
476	284	312
477	285	311
478	285	310
479	286	310
480	286	309
481	287	308
482	287	308
483	288	307
484	289	306
485	289	306
486	290	305
487	291	305
488	291	304
489	292	304
490	292	303
491	293	302
492	293	302
493	294	301
494	294	300
495	295	300
496	296	299
497	296	298
498	297	298
499	297	297
500	298	297
501	298	296
502	299	295
503	299	295
504	300	294
505	301	293
506	301	293
507	302	292
508	302	292
509	303	291
510	303	290
511	304	290
512	305	289
513	305	288
514	306	288
515	306	287
516	307	287
517	307	286
518	308	285
519	308	285
520	309	284
521	310	283
522	310	283
523	311	282
524	311	281
525	312	281
526	312	280
527	313	280
528	313	279
529	314	278
530	314	278
531	315	277
532	315	276
533	316	276
534	317	275
535	317	274
536	318	274
537	318	273
538	319	272
539	319	272
540	320	271
541	321	271
542	321	270
543	322	270
544	322	269
545	323	268
546	323	268
547	324	267
548	324	266
549	325	266
550	325	265
551	326	264
552	327	264
553	327	263
554	328	263
555	328	262
556	329	262
557	330	261
558	330	260
559	331	260
560	331	259
561	332	258
562	332	258
563	333	257
564	333	257
565	334	256
566	335	255
567	335	255
568	336	254
569	336	253
570	337	253
